,mean.x,,sd.x,median.x,range.x,ztest.x,,
peak_0.4sec_10_dyn.x,83.44827586,83.44827586,33.46770697,77,171,200.9700612,21.64229885,21.83724138
peak_0.4sec_20_dyn.x,27.22988506,27.22988506,17.27930685,24,99,65.57824726,-1.505747126,0.149425287
peak_0.4sec_30_dyn.x,9.75862069,9.75862069,13.50965677,7,76,23.5018708,83.44827586,83.44827586
peak_0.4sec_40_dyn.x,1.735632184,1.735632184,12.16500869,-1,64,4.179955819,,
peak_0.4sec_50_dyn.x,-1.505747126,1.505747126,11.74820477,-3,60,-3.626319287,,
peak_1sec_10_dyn.x,79.64367816,79.64367816,32.14030904,74,156,191.8073766,,
peak_1sec_20_dyn.x,31.08045977,31.08045977,19.0892752,28,111,74.85165917,,
peak_1sec_30_dyn.x,11.36781609,11.36781609,14.34225741,9,82,27.37732653,,
peak_1sec_40_dyn.x,2.643678161,2.643678161,12.49742021,0,66,6.366820122,,
peak_1sec_50_dyn.x,-0.781609195,0.781609195,11.81487561,-3,58,-1.88236421,,
peak_2sec_10_dyn.x,59.93103448,59.93103448,24.88381986,54,132,144.333044,,
peak_2sec_20_dyn.x,31.22988506,31.22988506,18.83693869,28,103,75.21152292,,
peak_2sec_30_dyn.x,13.44827586,13.44827586,14.9827487,14,85,32.38773714,,
peak_2sec_40_dyn.x,3.448275862,3.448275862,12.80875302,0,69,8.304547985,,
peak_2sec_50_dyn.x,-0.149425287,0.149425287,11.85624037,-3,56,-0.359863746,,
peak_3sec_10_dyn.x,56.74712644,56.74712644,23.69389009,52,128,136.665178,,
peak_3sec_20_dyn.x,24.87356322,24.87356322,16.54999796,24,102,59.9034728,,
peak_3sec_30_dyn.x,12,12,14.38102755,10,87,28.89982699,,
peak_3sec_40_dyn.x,4.137931034,4.137931034,12.67956827,0,68,9.965457582,,
peak_3sec_50_dyn.x,0.206896552,0.206896552,11.8872004,-2,59,0.498272879,,
peak_4sec_10_dyn.x,54.73563218,54.73563218,23.07745289,49,133,131.8208584,,
peak_4sec_20_dyn.x,22.49425287,22.49425287,16.15972136,22,104,54.17333469,,
peak_4sec_30_dyn.x,9.505747126,9.505747126,13.39027204,8,75,22.89287061,,
peak_4sec_40_dyn.x,3.402298851,3.402298851,12.3659884,0,66,8.193820679,,
peak_4sec_50_dyn.x,0.425287356,0.425287356,11.74103536,-2,61,1.024227585,,
