,mean.x,mean.z,mean.xz,median.x,median.z,median.xz,range.x,range.z,range.xz,sd.x,sd.z,sd.xz,ztest.x,ztest.z,ztest.xz,
peak_0.4sec_10_dyn.xz,83.4,82.6,82.5,77,78,76,171,175,157,33.5,33.7,32.2,201,199,198.6,
peak_0.4sec_20_dyn.xz,27.2,27.8,27.7,24,27,27,99,94,94,17.3,16.2,16.2,65.6,67,66.7,
peak_0.4sec_30_dyn.xz,9.8,10.3,9.6,7,8,7,76,70,72,13.5,12.8,13.1,23.5,24.7,23.2,
peak_0.4sec_40_dyn.xz,1.7,2.3,1.7,-1,-1,-1,64,58,62,12.2,11.8,11.9,4.2,5.6,4.1,**
peak_0.4sec_50_dyn.xz,-1.5,-1.5,-1.9,-3,-4,-4,60,56,57,11.7,11.6,11.5,-3.6,-3.6,-4.6,**
peak_1sec_10_dyn.xz,79.6,79.5,79.7,74,73,72,156,171,160,32.1,33.1,31.4,191.8,191.5,191.9,
peak_1sec_20_dyn.xz,31.1,29.6,29.9,28,28,27,111,97,102,19.1,16.5,17.1,74.9,71.2,71.9,
peak_1sec_30_dyn.xz,11.4,11.4,9.8,9,11,7,82,74,77,14.3,13.2,14,27.4,27.4,23.5,
peak_1sec_40_dyn.xz,2.6,2.9,1.6,0,1,-1,66,61,67,12.5,11.2,12.7,6.4,6.9,3.8,*
peak_1sec_50_dyn.xz,-0.8,-1.1,-1.6,-3,-3,-3,58,55,60,11.8,11.1,11.8,-1.9,-2.7,-4,**
peak_2sec_10_dyn.xz,59.9,59.6,59.8,54,55,54,132,126,116,24.9,24.8,23.2,144.3,143.4,144,
peak_2sec_20_dyn.xz,31.2,28.9,29.9,28,26,29,103,90,93,18.8,16,16.2,75.2,69.5,71.9,
peak_2sec_30_dyn.xz,13.4,14.2,13.1,14,14,13,85,76,83,15,14.4,14.3,32.4,34.2,31.6,
peak_2sec_40_dyn.xz,3.4,4.3,3.7,0,2,1,69,63,63,12.8,11.3,12.1,8.3,10.4,8.9,
peak_2sec_50_dyn.xz,-0.1,-0.8,-0.9,-3,-4,-3,56,52,58,11.9,10.9,11.5,-0.4,-1.9,-2.2,***
peak_3sec_10_dyn.xz,56.7,54.5,56.3,52,50,52,128,105,106,23.7,20.6,22.1,136.7,131.2,135.5,
peak_3sec_20_dyn.xz,24.9,21.2,23.4,24,19,23,102,74,89,16.5,13.8,15.4,59.9,51.2,56.4,
peak_3sec_30_dyn.xz,12,11.1,11.5,10,9,10,87,74,77,14.4,13.1,13.4,28.9,26.7,27.8,
peak_3sec_40_dyn.xz,4.1,5,4.8,0,3,2,68,64,63,12.7,11.4,11.6,10,12,11.5,
peak_3sec_50_dyn.xz,0.2,-0.1,-0.1,-2,-3,-3,59,53,56,11.9,11.1,11.4,0.5,-0.3,-0.2,***
peak_4sec_10_dyn.xz,54.7,51.4,53.6,49,49,50,133,97,110,23.1,18.9,21.1,131.8,123.7,129.1,
peak_4sec_20_dyn.xz,22.5,17.6,20.7,22,15,19,104,68,82,16.2,12.4,14.1,54.2,42.4,49.8,
peak_4sec_30_dyn.xz,9.5,8.1,9.1,8,6,6,75,68,71,13.4,11.9,12.8,22.9,19.4,21.9,
peak_4sec_40_dyn.xz,3.4,3.9,4,0,1,0,66,60,62,12.4,11.1,11.8,8.2,9.4,9.5,
peak_4sec_50_dyn.xz,0.4,0.5,0.6,-2,-3,-2,61,56,58,11.7,11.3,11.3,1,1.3,1.4,***
